login|file|reviews
ewencp|tests/kafkatest/services/kafka_log4j_appender.py|1
granthenke|clients/src/test/java/org/apache/kafka/common/protocol/ProtoUtilsTest.java|1
granthenke|clients/src/main/java/org/apache/kafka/common/protocol/ProtoUtils.java|1
ijuma|core/src/main/scala/kafka/controller/ReplicaStateMachine.scala|2
konradkalita|core/src/main/scala/kafka/controller/ReplicaStateMachine.scala|1
ijuma|core/src/main/scala/kafka/controller/KafkaController.scala|2
ijuma|core/src/test/scala/unit/kafka/utils/ReplicationUtilsTest.scala|1
ijuma|core/src/main/scala/kafka/utils/ZkUtils.scala|5
ijuma|core/src/main/scala/kafka/controller/PartitionStateMachine.scala|2
ijuma|core/src/main/scala/kafka/utils/ReplicationUtils.scala|2
fpj|core/src/main/scala/kafka/controller/KafkaController.scala|2
fpj|core/src/test/scala/unit/kafka/utils/ReplicationUtilsTest.scala|2
fpj|core/src/main/scala/kafka/utils/ZkUtils.scala|3
fpj|core/src/main/scala/kafka/controller/PartitionStateMachine.scala|2
fpj|core/src/main/scala/kafka/utils/ReplicationUtils.scala|2
ewencp|clients/src/main/java/org/apache/kafka/clients/consumer/KafkaConsumer.java|3
ewencp|tests/kafkatest/services/verifiable_consumer.py|1
ewencp|tests/kafkatest/tests/produce_consume_validate.py|1
ewencp|tests/kafkatest/services/verifiable_producer.py|2
ewencp|tests/kafkatest/tests/quota_test.py|1
junrao|core/src/main/scala/kafka/controller/ReplicaStateMachine.scala|2
ijuma|clients/src/main/java/org/apache/kafka/common/utils/Utils.java|2
ijuma|core/src/test/scala/unit/kafka/server/LogRecoveryTest.scala|2
ijuma|core/src/main/scala/kafka/server/ReplicaManager.scala|10
ijuma|core/src/main/scala/kafka/server/OffsetCheckpoint.scala|1
ewencp|clients/src/main/java/org/apache/kafka/common/utils/Utils.java|1
ewencp|core/src/test/scala/unit/kafka/server/LogRecoveryTest.scala|1
ewencp|core/src/main/scala/kafka/server/ReplicaManager.scala|1
ewencp|core/src/main/scala/kafka/server/OffsetCheckpoint.scala|2
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableAggregate.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/LongSumSupplier.java|1
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableAggregateTest.java|2
guozhangwang|streams/src/test/java/org/apache/kafka/test/NoOpKeyValueMapper.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableMapValues.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/KTable.java|5
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedDeserializer.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedSerializer.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedDeserializer.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedSerializer.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/CountSupplier.java|1
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableMapValuesTest.java|2
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableImpl.java|6
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableRepartitionMap.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableAggregate.java|2
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/LongSumSupplier.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableAggregateTest.java|4
ymatsuda|streams/src/test/java/org/apache/kafka/test/NoOpKeyValueMapper.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableMapValues.java|2
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedDeserializer.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedSerializer.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedDeserializer.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedSerializer.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/CountSupplier.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableMapValuesTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableRepartitionMap.java|2
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableAggregate.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/LongSumSupplier.java|1
Yogeshwar235|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableAggregateTest.java|1
Yogeshwar235|streams/src/test/java/org/apache/kafka/test/NoOpKeyValueMapper.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableMapValues.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/KTable.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedDeserializer.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamImpl.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedSerializer.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/ChangedDeserializer.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/WindowedSerializer.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/CountSupplier.java|1
Yogeshwar235|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KTableMapValuesTest.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableImpl.java|1
Yogeshwar235|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableRepartitionMap.java|1
gwenshap|core/src/test/scala/unit/kafka/server/ServerGenerateBrokerIdTest.scala|1
gwenshap|core/src/main/scala/kafka/server/KafkaServer.scala|3
gwenshap|core/src/test/scala/unit/kafka/server/KafkaConfigTest.scala|2
gwenshap|docs/upgrade.html|3
gwenshap|core/src/main/scala/kafka/server/KafkaConfig.scala|3
ijuma|core/src/test/scala/unit/kafka/server/ServerGenerateBrokerIdTest.scala|1
ijuma|core/src/main/scala/kafka/server/KafkaServer.scala|7
junrao|core/src/main/scala/kafka/coordinator/GroupCoordinator.scala|3
junrao|core/src/test/scala/unit/kafka/log/CleanerTest.scala|2
junrao|streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordQueue.java|2
junrao|core/src/main/scala/kafka/log/LogSegment.scala|1
junrao|core/src/test/scala/unit/kafka/message/ByteBufferMessageSetTest.scala|2
junrao|core/src/main/scala/kafka/api/ProducerRequest.scala|1
junrao|core/src/test/scala/unit/kafka/server/EdgeCaseRequestTest.scala|1
junrao|core/src/main/scala/kafka/server/ConfigHandler.scala|2
junrao|clients/src/main/java/org/apache/kafka/common/record/Record.java|2
junrao|clients/src/test/java/org/apache/kafka/clients/producer/internals/RecordAccumulatorTest.java|4
junrao|core/src/main/scala/kafka/tools/SimpleConsumerShell.scala|4
junrao|core/src/test/scala/unit/kafka/producer/ProducerTest.scala|1
junrao|core/src/main/scala/kafka/api/FetchRequest.scala|1
junrao|clients/src/test/java/org/apache/kafka/clients/consumer/MockConsumerTest.java|2
junrao|clients/src/test/java/org/apache/kafka/common/requests/RequestResponseTest.java|3
junrao|clients/src/main/java/org/apache/kafka/clients/producer/internals/Sender.java|3
junrao|core/src/main/scala/kafka/server/KafkaServer.scala|4
junrao|core/src/main/scala/kafka/message/MessageWriter.scala|2
junrao|clients/src/main/java/org/apache/kafka/clients/producer/internals/RecordBatch.java|3
junrao|core/src/main/scala/kafka/producer/async/DefaultEventHandler.scala|1
junrao|core/src/test/scala/unit/kafka/producer/AsyncProducerTest.scala|2
junrao|core/src/test/scala/unit/kafka/log/LogTest.scala|2
junrao|checkstyle/import-control.xml|2
junrao|clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerInterceptorsTest.java|2
junrao|core/src/test/scala/unit/kafka/tools/ConsoleConsumerTest.scala|2
junrao|core/src/test/scala/unit/kafka/server/LogOffsetTest.scala|1
junrao|clients/src/main/java/org/apache/kafka/clients/producer/MockProducer.java|2
junrao|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskThreadedTest.java|2
junrao|clients/src/main/java/org/apache/kafka/clients/consumer/ConsumerRecord.java|2
junrao|clients/src/main/java/org/apache/kafka/clients/producer/KafkaProducer.java|4
junrao|core/src/main/scala/kafka/server/ReplicaManager.scala|4
junrao|core/src/main/scala/kafka/admin/TopicCommand.scala|2
junrao|core/src/main/scala/kafka/log/Log.scala|3
junrao|core/src/main/scala/kafka/message/ByteBufferMessageSet.scala|2
junrao|docs/upgrade.html|3
junrao|core/src/main/scala/kafka/message/MessageAndMetadata.scala|1
junrao|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaConfigStorageTest.java|2
junrao|clients/src/main/java/org/apache/kafka/common/record/Compressor.java|2
junrao|clients/src/main/java/org/apache/kafka/common/requests/ProduceRequest.java|1
junrao|core/src/test/scala/unit/kafka/log/LogManagerTest.scala|2
junrao|core/src/test/scala/unit/kafka/log/LogCleanerIntegrationTest.scala|1
junrao|core/src/main/scala/kafka/server/KafkaApis.scala|5
junrao|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskTest.java|2
junrao|clients/src/test/java/org/apache/kafka/common/record/MemoryRecordsTest.java|1
junrao|clients/src/test/java/org/apache/kafka/clients/producer/RecordSendTest.java|2
junrao|clients/src/main/java/org/apache/kafka/clients/consumer/internals/Fetcher.java|3
junrao|core/src/test/scala/unit/kafka/log/LogConfigTest.scala|2
junrao|streams/src/test/java/org/apache/kafka/streams/processor/internals/StreamTaskTest.java|2
junrao|core/src/main/scala/kafka/api/ApiVersion.scala|2
junrao|clients/src/main/java/org/apache/kafka/common/record/TimestampType.java|2
junrao|core/src/main/scala/kafka/log/LogCleaner.scala|3
junrao|clients/src/main/java/org/apache/kafka/common/utils/Crc32.java|1
junrao|core/src/main/scala/kafka/log/FileMessageSet.scala|3
junrao|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSourceTaskTest.java|2
junrao|core/src/main/scala/kafka/tools/MirrorMaker.scala|1
junrao|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStoreTest.java|2
junrao|core/src/main/scala/kafka/coordinator/GroupMetadataManager.scala|3
junrao|core/src/test/scala/unit/kafka/server/KafkaConfigTest.scala|3
junrao|core/src/test/scala/integration/kafka/api/PlaintextConsumerTest.scala|5
junrao|clients/src/test/java/org/apache/kafka/clients/consumer/internals/FetcherTest.java|2
junrao|core/src/main/scala/kafka/consumer/BaseConsumer.scala|1
junrao|core/src/test/scala/unit/kafka/message/MessageCompressionTest.scala|1
junrao|clients/src/main/java/org/apache/kafka/common/record/MemoryRecords.java|2
junrao|core/src/test/scala/integration/kafka/api/BaseConsumerTest.scala|5
